,0,0,0,0,0
153,인천광역시 중구 운중로 33 (운남동) ,신공항동물병원,032-751-4598,인천광역시 중구,개+고양이+기타
154,대구광역시 수성구 수성동1가 명덕로 393 (수성동1가) ,신세계동물병원,053-751-6693,대구광역시 수성구,개+고양이+기타
155,전라남도 무안군 삼향읍 석매길 21-5 (삼향읍) ,신안유기동물보호센터,***********,전라남도 신안군,없음
156,충청남도 아산시 염치읍 충무로 295-9  ,아산시동물보호센터,041-533-3563,충청남도 아산시,개+고양이
157,경기도 파주시 경의로 1100 (야당동) 201호,야당동물병원,031-948-7579,경기도 파주시,없음
158,강원도 양구군 남면 양남로 319-31 (남면) 양구군농업기술센터,양구,033-480-7785,강원도 양구군,없음
159,경상남도 양산시 동면 석산리 392 양산시농업기술센터,양산시 동물보호센터,055-392-5337,경상남도 양산시,개+고양이
160,경기도 양평군 양평읍 농업기술센터길 59 (양평읍) ,양평군유기동물보호소,031-770-2337,경기도 양평군,없음
161,"전라북도 부안군 부안읍 번영로 185 (부안읍, 르노삼성자동차) 연합동물병원",연합동물병원,063-580-4499,전라북도 부안군,개+고양이+기타
162,서울특별시 용산구 원효로2가 84-10,열린동물병원,02-3273-0075,서울특별시 용산구,없음
163,경상북도 영덕군 영덕읍 구미2길 14-1 (영덕읍) 영덕군유기동물보호센터,영덕유기동물보호센터,054-730-6286,경상북도 영덕군,개+고양이
164,경상북도 영양군 입암면 마령산해로 1202 (입암면) .,영양군유기동물보호소,***********,경상북도 영양군,개+고양이+기타
165,강원도 영월군 영월읍 덕포우회길 329  ,영월군위탁동물보호소,033-370-2392,강원도 영월군,개
166,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,영일동물플러스,054-262-8295,경상북도 포항시,개+고양이+야생동물
167,경상북도 영주시 문수면 반구로324번길 135 (문수면) 장수면 반구리 407-8,영주시 동물보호센터,***********,경상북도 영주시,개
168,"경상북도 영천시 천문로 622-13 (오미동, 영천시농업기술센터) ",영천유기동물보호센터,054-339-7175,경상북도 영천시,개+고양이+기타
169,충청남도 예산군 예산읍 아리랑로 236  지하1층,예산동물보호센터,041-339-7832,충청남도 예산군,개+고양이
170,대구광역시 수성구 동대구로 207 (황금동) ,예스동물병원,053-768-7543,대구광역시 수성구,개+고양이+기타
171,"경상북도 예천군 예천읍 충효로 632-84 (예천읍, 유기동물보호소) ",예천군유기동물보호소,054-650-8167,경상북도 예천군,개+기타
172,경기도 오산시 성호대로 36 (오산동) ,오산시수의사회,031-372-9325,경기도 오산시,개+고양이+기타
173,"충청북도 옥천군 옥천읍 삼금로 53 (옥천읍, 동물병원) 옥천동물병원",옥천동물병원,***********,충청북도 옥천군,개+고양이
174,울산광역시 울주군 언양읍 읍성로 135 (언양읍) ,와우동물병원,052-225-0075,울산광역시 울주군,개+고양이+기타
175,서울특별시 마포구 대흥로 48 (대흥동) ,용강동물병원,02-707-2340,서울특별시 마포구,개+고양이+토끼+페럿+햄스터+기니피그
176,"경기도 용인시 처인구 중부대로 1074-1 (삼가동, 용인시 동물보호센터) ",용인시 동물보호센터,031-324-3463,경기도 용인시,개+고양이
177,경상북도 군위군 군위읍 중앙1길 17 (군위읍) ,우성동물병원,054-382-1357,경상북도 군위군,개
178,"경상북도 울릉군 울릉읍 신리길 68 (울릉읍, 울릉도축장) ",울릉군농업기술센터,054-790-6282,경상북도 울릉군,개+고양이+기타
179,울산광역시 울주군 온양읍 발리 1144,울산유기동물보호센터,052-238-6113,울산광역시 울주군,개+고양이+기타
180,울산광역시 울주군 온양읍 화산발리로 543 (온양읍) ,울산유기동물보호센터,052-238-6113,울산광역시 중구,개+고양이
181,울산광역시 울주군 온양읍 발리 1144,울산유기동물보호센터,052-238-6113,울산광역시 북구,개+고양이
182,울산광역시 울주군 온양읍 화산발리로 543 (온양읍) ,울산유기동물보호센터,052-238-6113,울산광역시 남구,개+고양이
183,경상북도 울진군 울진읍 대흥신림로 916-37  ,울진군동물보호센터,054-789-6795,경상북도 울진군,개
184,강원도 원주시 호저면 칠봉로 110-6 ,원주유기동물보호센터,033-731-1119,강원도 원주시,개+고양이+기타
185,서울특별시 용산구 원효로2가 30-4,원효동물병원,02-719-7070,서울특별시 용산구,없음
186,충청남도 금산군 금산읍 오리정로 68  월드동물병원,월드동물병원,041-750-2584,충청남도 금산군,개+고양이
187,"경기도 파주시 한울로 123 (동패동, 이마트운정점) 2층, 웰니스클리닉",웰니스클리닉,031-942-7524,경기도 파주시,없음
188,"서울특별시 마포구 월드컵북로 27 (서교동, 이화빌딩) 서교동447-2",웰케어 동물병원,02-337-7575,서울특별시 마포구,개+고양이+토끼+기니피그+페럿+햄스터
189,경기도 여주시 능서면 능서공원길 34 (능서면) ,위더스 동물보호센터,031-882-4381,경기도 여주시,개+고양이+기타
190,경기도 여주시 능서면 능서공원길 34 (능서면) ,위더스 동물보호센터,031-882-4381,경기도 이천시,개+고양이+기타동물
191,강원도 고성군 간성읍 꽃내마루길 53-49  ,유기견임시보호소,033-680-3724,강원도 고성군,개
192,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,유기동물및동물보호협,051-971-6208,부산광역시 사상구,개+고양이+기타
193,경상북도 안동시 서후면 풍산태사로 3252-29 (서후면) ,유기동물보호센터,***********,경상북도 안동시,개+고양이
194,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",유기동물보호소,061-659-4429,전라남도 여수시,개+다친고양이
195,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,유기동물임시보호센터,***********,전라남도 완도군,개
196,충청남도 천안시 동남구 충절로 437 (삼룡동) ,유실유기동물보호소,***********,충청남도 천안시,개+고양이+기타
197,서울특별시 도봉구 마들로 664 (도봉동) 2층,이n김동물병원,02-955-6530,서울특별시 노원구,없음
198,충청남도 공주시 감영길 7 (반죽동) ,이기영수의과병원,041-853-7575,충청남도 공주시,개+고양이+기타
199,서울특별시 용산구 이촌동 300-23,이상윤동물병원,02-792-5455,서울특별시 용산구,없음
200,서울특별시 용산구 이태원동 531,이태원동물병원,02-794-4945,서울특별시 용산구,없음
201,전라북도 익산시 서동로42길 77 (용제동) 16통 1반,익산유기동물보호소,063-855-1214,전라북도 익산시,개+고양이+기타
202,전라북도 남원시 인월면 인월로 64  ,인월동물병원,063-636-2873,전라북도 남원시,없음
203,강원도 인제군 인제읍 비봉로44번길 105 ,인제군유기동물보호소,033-460-2473,강원도 인제군,없음
204,"인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ",인천광역시 수의사회 ,032-515-7567,인천광역시 미추홀구,개+고양이+기타
205,"인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ",인천광역시수의사회,032-515-7567,인천광역시 연수구,개+고양이+기타
206,인천광역시 계양구 다남동 35-8,인천수의사회유기동물,032-515-7567,인천광역시 옹진군,개+고양이
207,전라북도 임실군 오수면 오수로 182  번지,임실유기동물보호센터,063-640-2516,전라북도 임실군,없음
208,전라남도 장성군 삼서면 대중길 29-27  ,장성군동물보호센터,***********,전라남도 장성군,개+고양이
209,"전라남도 장흥군 안양면 우드랜드길 288 (안양면, 남도국제교육원) 축산사업소",장흥군 동물보호센터,061-860-6729,전라남도 장흥군,개
210,전라북도 김제시 용지면 금백로 571-39 (용지면) 전북말산업복합센터,전북말산업복합센터,063-547-3549,전라북도 김제시,개+고양이
211,경상북도 청송군 현동면 청송로 3128-135 (현동면) ,점곡보호소,***********,경상북도 청송군,없음
212,강원도 정선군 정선읍 정선로 1321 (정선읍) ,정선가축병원,033-563-0198,강원도 정선군,개+고양이
213,전라북도 정읍시 2산단5길 37-1 (하북동) ,정읍시 동물보호소,063-535-6295,전라북도 정읍시,개+고양이+기타
214,울산광역시 북구 진장17길 11 (진장동) 정철동물병원,정철동물병원,052-287-0348,울산광역시 북구,개+고양이
215,대구광역시 수성구 달구벌대로 2475 (범어동) ,제니스동물병원,053-756-8293,대구광역시 수성구,개+고양이+기타
216,전라북도 장수군 장계면 한들로 76  제이준동물병원,제이준동물병원,***********,전라북도 장수군,개+고양이+기타
217,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주 동물보호센터,064-710-4065,제주특별자치도,개+고양이
218,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주동물보호센터,064-710-4067,제주특별자치도 제주시,없음
219,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,제주동물보호센터,064-710-4067,제주특별자치도 서귀포시,없음
220,제주특별자치도 제주시 삼의영길 72 (아라일동) ,제주애견학교,***********,제주특별자치도 제주시,없음
221,충청북도 제천시 금성면 적성로8길 51 (금성면) ,제천시 동물보호센터,043-647-0059,충청북도 제천시,개+고양이+기타
222,인천광역시 부평구 원적로 409 (산곡동) ,조재진동물병원,032-518-3800,인천광역시 부평구,개+고양이+기타동물
223,경상북도 문경시 중앙로 170 (흥덕동) 종합가축병원,종합가축병원,054-552-2233,경상북도 문경시,개+고양이+기타
224,울산광역시 남구 돋질로 385-1 (삼산동) ,주동물병원,052-268-8275,울산광역시 남구,개+고양이
225,전라남도 진도군 진도읍 성죽골길 30 (진도읍) 진도개축산과,진도개메디컬센터,061-540-6327,전라남도 진도군,개+기타
226,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설) ",진주시유기동물보호소,055-749-6134,경상남도 진주시,개
227,"충청북도 진천군 진천읍 문화6안길 14-1 (진천읍, 진천지게차) 진천동물병원",진천군유기동물보호소,043-533-7212,충청북도 진천군,개+고양이+기타
228,"경상남도 창원시 진해구 웅천로 218 (성내동, 농업기술센터) 205번지 ",진해유기동물보호소,055-225-5481,경상남도 창원시 진해구,개
229,"인천광역시 부평구 평천로 356 (갈산동, 민상빌딩) 1층",짱구네동물병원,032-511-5515,인천광역시 부평구,개+고양이+기타동물
230,서울특별시 용산구 산천동 93-1,차오름동물병원,02-706-7975,서울특별시 용산구,없음
231,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28,창녕 유기동물보호소,***********,경상남도 창녕군,개+고양이
232,"경상남도 창원시 의창구 창이대로 71 (명서동, 창원시농업기술센터) 축산과",창원유기동물보호소,055-225-5481,경상남도 창원시 의창성산구,개
233,"강원도 철원군 동송읍 장흥로 311 (동송읍, 철원군농업기술센타) 농업기술센터",철원군,033-450-5394,강원도 철원군,없음
234,경상북도 청도군 화양읍 청화3길 10  청도군 농업기술센터,청도군동물보호소,054-370-6558,경상북도 청도군,개
235,충청남도 청양군 대치면 청산로 446-17 (대치면) ,청양보호소,041-940-2972,충청남도 청양군,개+고양이
236,전라북도 남원시 죽항동 278번지,청원동물병원,063-633-3533,전라북도 남원시,개+고양이
237,충청남도 태안군 태안읍 남문리 504-6,최동물병원,041-672-0346,충청남도 태안군,개
238,충청북도 보은군 보은읍 보은로 119-1 (보은읍) ,최상오동물병원,043-543-0753,충청북도 보은군,개+고양이+기타
239,"충청북도 영동군 영동읍 계산로 54 (영동읍, 최종주동물병원) ",최종주동물병원,043-744-4209,충청북도 영동군,개+고양이+기타
240,강원도 춘천시 신북읍 영서로 3282 (신북읍) (전)102보충대 주차장,춘천시 동물보호센터,033-245-5351,강원도 춘천시,개+고양이+기타
241,경상북도 칠곡군 석적읍 포망로 341 (석적읍) ,칠곡유기동물보호센터,054-973-5710,경상북도 칠곡군,개+고양이
242,서울특별시 구로구 오류로 55 (오류동) ,캥거루동물병원,02-2066-2579,서울특별시 영등포구,없음
243,"울산광역시 북구 신답로 26 (상안동, 홈플러스) 쿨펫동물병원 홈플러스 북구점",쿨펫 홈플러스 북구점,052-286-3567,울산광역시 북구,개+고양이
244,"울산광역시 북구 진장유통로 64 (진장동, 롯데마트) 4층 쿨펫동물병원",쿨펫동물병원,052-288-7572,울산광역시 북구,개+고양이
245,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",태민동물병원,***********,경상남도 합천군,개+고양이
246,강원도 태백시 문의재로 5 (통동) ,태백유기동물,***********,강원도 태백시,개
247,충청북도 음성군 금왕읍 음성로 1203 ,테오종합동물병원,043-881-8975,충청북도 음성군,개+고양이+기타
248,경기도 파주시 교하로 87 (목동동) 삼성프라자 201,파주24시동물병원,031-944-5575,경기도 파주시,없음
249,대구광역시 수성구 달구벌대로 3144 (노변동) 펫동물병원,펫동물병원,053-474-9820,대구광역시 수성구,금강동물병원
250,서울특별시 용산구 한남동 653-26,펫토이동물병원,02-795-2184,서울특별시 용산구,없음
251,"경기도 성남시 분당구 불정로 266 (수내동, 유신제일조합) ",펫토피아동물병원,031-714-8392,경기도 성남시,개+고양이+유기유실동물
252,강원도 평창군 진부면 청송로 61 ,평창군유기동물보호소,***********,강원도 평창군,개
253,경기도 평택시 진위면 야막길 108-86 (진위면) ,평택시유기동물보호소,031-8024-3849,경기도 평택시,없음
254,대구광역시 달성군 현풍면 비슬로 614-1 (현풍면) 논공읍 관할,포산동물병원,053-616-2478,대구광역시 달성군,개+고양이
255,전라북도 남원시 왕정동 67 ,하나동물병원,063-634-7582,전라북도 남원시,개+고양이
256,경기도 하남시 신평로 37 (덕풍동) 하남동물병원,하남동물병원,031-793-7802,경기도 하남시,개+고양이+햄스터
257,경상남도 하동군 적량면 한옥정길 90 (적량면) 유기동물보호소,하동군유기동물보호소,055-880-2677,경상남도 하동군,개+고양이+기타
258,부산광역시 강서구 제도로 726 (강동동) ,하얀비둘기,051-293-9779,부산광역시 영도구,개+고양이+기타동물
259,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,학교동물임시보호센터,***********,전라남도 함평군,개+기타
260,경기도 양주시 남면 감악산로 63-37 ,한국동물구조관리협회,031-867-9119,서울특별시 영등포구,없음
261,경기도 양주시 남면 감악산로 63-48  ,한국동물구조관리협회,031-867-9119,서울특별시 은평구,개+고양이+기타
262,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,031-867-9119,서울특별시 서대문구,개+고양이+기타
263,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회,한국동물구조관리협회,031-867-9119,서울특별시 강서구,개+고양이+기타
264,경기도 양주시 남면 상수리 410-1,한국동물구조관리협회,031-867-9119,서울특별시 구로구,개+고양이+기타
265,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,031-867-9119,서울특별시 금천구,개+고양이+기타
266,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,031-867-9119,서울특별시 서초구,개+고양이+기타
267,경기도 양주시 남면 감악산로 63-37  (사)한국동물구조관리협회,한국동물구조관리협회,031-867-9119,서울특별시 강동구,개+고양이+기타
268,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,031-867-9119,서울특별시 성동구,개+고양이+기타
269,경기도 양주시 남면 감악산로 63-37 ,한국동물구조관리협회,031-867-9119,경기도 동두천시,개+고양이+기타
270,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회,한국동물구조관리협회,031-867-9119,경기도 포천시,개+고양이+기타
271,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,031-867-9119,서울특별시 성북구,개등유기유실동물
272,경기도 양주시 남면 감악산로 63-37 ,한국동물구조관리협회,031-867-9119,경기도 연천군,개+기타
273,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,031-867-9119,경기도 양주시,개+고양이+기타
274,경기도 양주시 남면 감악산로 63-37 ,한국동물구조관리협회,031-867-9119,서울특별시 중랑구,개+고양이+기타
275,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,031-867-9119,서울특별시 중구,개+반려묘+다친새끼고양이
276,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,031-867-9119,서울특별시 종로구,개+고양이+기타
277,경기도 양주시 남면 감악산로 63-37 ,한국동물구조관리협회,031-867-9119,서울특별시 동대문구,개+고양이+기타
278,경기도 양주시 남면 감악산로 63-37  ,한국동물구조관리협회,031-867-9119,서울특별시 강북구,개+고양이+기타
279,경기도 양주시 남면 상수리 410-1,한국동물구조관리협회,031-867-9119,서울특별시 도봉구,개+고양이+기타
280,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,031-868-2851,서울특별시 노원구,개+고양이+기타
281,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회,한국동물구조관리협회,031-867-9119,서울특별시 강남구,개+고양이+기타
282,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,031-867-9119,서울특별시 송파구,개+고양이+기타
283,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,031-867-9119,경기도 김포시,개+고양이
284,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,031-867-9119,서울특별시 광진구,개+고양이+기타
285,경기도 안산시 상록구 청곡길 50 (부곡동) ,한국야생동물보호협회,031-296-0124,경기도 의왕시,없음
286,경기도 안산시 상록구 청곡길 50 (부곡동) 한국야생동물보호협회,한국야생동물보호협회,031-296-0124,경기도 광명시,개+고양이+기타
287,경기도 안산시 상록구 청곡길 50 (부곡동) ,한국야생동물보호협회,031-296-0124,경기도 안양시,개+고양이+기타
288,경기도 안산시 상록구 청곡길 50 (부곡동) (사)한국야생동물보호협회,한국야생동물보호협회,031-296-0124,경기도 과천시,개+고양이+기타
289,경기도 안산시 상록구 청곡길 50 (부곡동) 안산시 상록구 부곡동 231-5,한국야생동물보호협회,031-296-0124,경기도 안산시,개+기타
290,경기도 안산시 상록구 청곡길 50 (부곡동) ,한국야생동물보호협회,031-296-0124,경기도 군포시,개+고양이
291,서울특별시 용산구 한남동 642-4,한남동물병원,02-793-9230,서울특별시 용산구,없음
292,"서울특별시 구로구 경인로 350 (개봉동, 비동) 105호",한샘동물병원,02-2681-7585,서울특별시 영등포구,없음
293,"경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터) ",함양군위탁보호소,055-960-8143,경상남도 함양군,개
294,전라남도 해남군 해남읍 부흥길 59-70  ,해남군임시동물보호소,061-531-3914,전라남도 해남군,개
295,전라북도 전주시 덕진구 건산로 243 (인후동1가) 행복한동물병원,행복한동물병원,063-244-0090,전라북도 진안군,없음
296,"경기도 파주시 중앙로 241 (금촌동, 한샘파주키친프라자) 행복한동물병원",행복한동물병원,031-957-0075,경기도 파주시,없음
297,대구광역시 수성구 수성동2가 명덕로 421 (수성동2가) 허동물병원,허동물병원,053-752-7535,대구광역시 수성구,개+고양이+기타
298,대구광역시 달성군 유가읍 테크노공원로 51 (유가읍) ,현풍동물병원,053-614-3570,대구광역시 달성군,개+고양이
299,서울특별시 마포구 독막로 45 (합정동) ,홍익동물병원,02-325-2026,서울특별시 마포구,개+고양이+토끼+기니피그+페럿+햄스터
300,"강원도 홍천군 화촌면 둔덕이길 68 (화촌면, 홍천군유기동물보호센터) ",홍천군유기동물보호소,033-434-9435,강원도 홍천군,개+고양이
301,전라남도 화순군 한천면 덕음로 115 (한천면) ,화순군유기동물보호소,***********,전라남도 화순군,없음
302,대구광역시 달성군 화원읍 사문진로 447 (화원읍) 화원읍 관할,화원연합동물병원,053-634-7975,대구광역시 달성군,개+고양이
303,강원도 화천군 상서면 영서로 6387-9  화천군농업기술센터,화천군농업기술센터,033-440-2941,강원도 화천군,없음
304,강원도 원주시 호저면 칠봉로 110-6 (호저면) ,횡성유기동물보호센터,033-731-1119,강원도 횡성군,없음
